reach_time,algo_time,percentage
0.0001,402.2626,0.0000
0.0001,415.4056,0.0000
0.0001,426.7295,0.0000
0.0002,438.1599,0.0000
0.0002,438.2711,0.0000
0.0002,449.7306,0.0000
0.0002,449.8476,0.0000
0.0002,461.4496,0.0000
0.0003,486.6304,0.0000
0.0003,497.9764,0.0000
0.0003,498.0923,0.0000
0.0003,509.6015,0.0000
0.0003,521.4006,0.0000
0.0004,521.5156,0.0000
0.0004,535.1101,0.0000
0.0004,546.4767,0.0000
0.0004,546.5934,0.0000
0.0004,569.2440,0.0000
0.0004,580.7323,0.0000
0.0005,594.0042,0.0000
0.0005,627.5049,0.0000
0.0005,651.6762,0.0000
0.0005,651.7969,0.0000
0.0005,663.2628,0.0000
0.0006,663.3893,0.0000
0.0006,663.5121,0.0000
0.0006,674.8827,0.0000
0.0006,675.0091,0.0000
0.0006,686.3488,0.0000
0.0007,686.4719,0.0000
0.0007,711.5708,0.0000
0.0007,734.4072,0.0000
0.0007,745.9828,0.0000
0.0007,757.5734,0.0000
0.0008,771.4359,0.0000
0.0008,782.5354,0.0000
0.0008,805.1099,0.0000
0.0008,805.2467,0.0000
0.0008,816.3353,0.0000
0.0008,816.4757,0.0000
0.0009,829.9001,0.0000
0.0009,830.0408,0.0000
0.0009,841.5093,0.0000
0.0009,841.6461,0.0000
0.0009,853.1792,0.0000
0.0010,864.6899,0.0000
0.0010,901.5653,0.0000
0.0010,913.2025,0.0000
0.0010,924.8538,0.0000
0.0010,936.7544,0.0000
0.0011,950.7668,0.0000
0.0011,962.5136,0.0000
0.0011,974.0601,0.0000
0.0011,974.2067,0.0000
0.0011,985.9002,0.0000
0.0012,986.0470,0.0000
0.0012,1011.3326,0.0000
0.0012,1011.4829,0.0000
0.0012,1023.5507,0.0000
0.0012,1035.0182,0.0000
0.0012,1057.2964,0.0000
0.0013,1082.2136,0.0000
0.0013,1093.8117,0.0000
0.0013,1105.6760,0.0000
0.0013,1130.0852,0.0000
0.0013,1130.2457,0.0000
0.0014,1141.4844,0.0000
0.0014,1164.0084,0.0000
0.0014,1164.1750,0.0000
0.0014,1164.3387,0.0000
0.0014,1175.9540,0.0000
0.0015,1188.8996,0.0000
0.0015,1212.3695,0.0000
0.0015,1223.7364,0.0000
0.0015,1235.3544,0.0000
0.0015,1235.5254,0.0000
0.0016,1235.7012,0.0000
0.0016,1249.0728,0.0000
0.0016,1249.4282,0.0000
0.0016,1260.9547,0.0000
0.0016,1261.3019,0.0000
0.0017,1284.7360,0.0000
0.0017,1309.6487,0.0000
0.0017,1320.7672,0.0000
0.0017,1332.3336,0.0000
0.0017,1355.0295,0.0000
0.0017,1368.7187,0.0000
0.0018,1368.8981,0.0000
0.0018,1380.5740,0.0000
0.0018,1380.7515,0.0000
0.0018,1380.9344,0.0000
0.0018,1392.6157,0.0000
0.0019,1404.0945,0.0000
0.0019,1439.8221,0.0000
0.0019,1474.0713,0.0000
0.0019,1488.1507,0.0000
0.0019,1488.3384,0.0000
0.0020,1488.5213,0.0000
0.0020,1511.5535,0.0000
0.0020,1511.7376,0.0000
0.0020,1523.3835,0.0000
0.0020,1535.0887,0.0000
0.0021,1548.9346,0.0000
0.0021,1572.4166,0.0000
0.0021,1572.6072,0.0000
0.0021,1595.4918,0.0000
0.0021,1609.1606,0.0000
0.0022,1609.3539,0.0000
0.0022,1632.2883,0.0000
0.0022,1632.6777,0.0000
0.0022,1644.2065,0.0000
0.0022,1669.7937,0.0000
0.0023,1681.3882,0.0000
0.0023,1693.0079,0.0000
0.0023,1729.5263,0.0000
0.0023,1729.7296,0.0000
0.0023,1729.9339,0.0000
0.0024,1741.1590,0.0000
0.0024,1753.0577,0.0000
0.0024,1765.3188,0.0000
0.0024,1790.7852,0.0000
0.0024,1802.2721,0.0000
0.0024,1813.6828,0.0000
0.0025,1813.8912,0.0000
0.0025,1825.7919,0.0000
0.0025,1837.4913,0.0000
0.0025,1862.7699,0.0000
0.0025,1874.5814,0.0000
0.0026,1874.7922,0.0000
0.0026,1874.9997,0.0000
0.0026,1899.1831,0.0000
0.0026,1912.8583,0.0000
0.0026,1924.7223,0.0000
0.0027,1924.9324,0.0000
0.0027,1947.7533,0.0000
0.0027,1959.4875,0.0000
0.0027,1985.1792,0.0000
0.0027,1997.3743,0.0000
0.0028,1997.5914,0.0000
0.0028,2034.3019,0.0000
0.0028,2045.9959,0.0000
0.0028,2057.7237,0.0000
0.0028,2069.3483,0.0000
0.0029,2069.5776,0.0000
0.0029,2081.1708,0.0000
0.0029,2094.5060,0.0000
0.0029,2105.7779,0.0000
0.0029,2106.2287,0.0000
0.0029,2118.1524,0.0000
0.0030,2129.9086,0.0000
